danmaku,zone,time,total_time
死了,digital,304.67500,738
？？？？,digital,94.09700,738
三连啦,digital,722.26400,738
害怕,digital,346.86700,738
在想到每刷一个视频，自己最宝贵的时间就被张一鸣拿去做金钱交易，我就立马卸载,digital,647.24600,738
仔细想想好像是这样啊,digital,339.12100,738
语言换成英文,digital,279.58900,738
哈哈哈哈哈哈哈哈哈,digital,427.22800,738
说吧一顿几个毕导,digital,233.44900,738
哈哈哈哈哈,digital,126.95500,738
你怎么知道我明天考通信原理,digital,316.58700,738
我喜欢小屏，因为我手小，大屏抓不下,digital,56.44000,738
哈哈哈哈哈,digital,235.82900,738
可怕啊,digital,222.62000,738
666,digital,630.42000,738
好厉害,digital,727.04700,738
太棒了,digital,729.75900,738
抖音，淘宝要投诉你了,digital,556.82300,738
随机区组实验,digital,57.88400,738
？？？？,digital,101.54300,738
完全随机化实验,digital,48.88400,738
这个APP里也有视频流吗,digital,591.76300,738
牛逼,digital,589.71400,738
你币有了！！！,digital,640.59600,738
每次看完都起一身鸡皮疙瘩。,digital,728.97900,738
逐渐忘记主题hhhh,digital,437.04200,738
好喜欢这种,digital,694.86700,738
可是期末考试之前看的小说最好看了,digital,308.70700,738
内行,digital,499.70900,738
？？？,digital,589.97100,738
把手机换成平板,digital,298.34200,738
刚好明天考试,digital,329.02100,738
夸克用户在这里,digital,459.12400,738
升华了，开始了,digital,645.93600,738
在手机上看戒手机的视频,digital,28.02900,738
小考小玩大考大玩,digital,310.94000,738
效果拔群,digital,550.27100,738
好家伙音乐都不能听了,digital,175.11100,738
这次一定,digital,724.78900,738
会,digital,310.34300,738
yota打钱 额算了yota,digital,217.92000,738
吾日三省吾身,digital,492.15500,738
不可能,digital,12.05900,738
同款壁纸,digital,693.52600,738
12mini点头路过,digital,75.83800,738
好！！！！！！！！！！！！！！！！1,digital,462.95700,738
牛壁啊,digital,604.08700,738
只好看小说了,digital,219.42000,738
越是这种时候手机越好玩,digital,329.21800,738
输入24小时,digital,596.85500,738
我要！,digital,520.06800,738
握草,digital,592.96200,738
会 又刺激又快乐 是双倍的快乐 比如我现在(明天考试,digital,305.96400,738
笑死,digital,424.21000,738
续航吧,digital,89.39200,738
棒棒棒,digital,731.58100,738
卧槽,digital,588.90200,738
手好好看阿,digital,278.46000,738
对对对对对,digital,356.46000,738
土豪,digital,90.63600,738
打工就好了,digital,636.76600,738
对的,digital,535.80300,738
大佬nb,digital,723.50700,738
b站没有这样真是太棒了,digital,404.97000,738
毕化,digital,232.23300,738
对不起，我是,digital,371.88000,738
？？？？？？？？,digital,89.40600,738
哈哈哈哈哈哈哈哈哈,digital,233.22000,738
2077！,digital,297.11600,738
交三连！！天哪！！,digital,642.94300,738
真的很快乐,digital,279.79900,738
这顶什么用啊，你锁得了程序，你锁得了人心吗？,digital,601.43000,738
下次一定,digital,718.16900,738
不工作的时候没有事情做，只有玩手机了,digital,272.12500,738
牛啊,digital,103.86000,738
23333,digital,232.78000,738
终于来了！,digital,6.50000,738
没错,digital,394.53800,738
我会在焦虑中玩手机,digital,319.50000,738
你搁这儿写论文呢？,digital,25.22100,738
手机哪有电脑好玩啊,digital,123.80000,738
又延长了10分钟看视频,digital,222.56200,738
不后悔,digital,690.59600,738
？？,digital,426.80300,738
不，屏幕大没用，分辨率才是王道,digital,55.90000,738
哈哈哈,digital,423.63500,738
懂了，这就注射多巴胺,digital,319.34300,738
有钱,digital,92.48200,738
？？？？？？,digital,99.12900,738
小何好棒！,digital,724.20100,738
我不行,digital,3.47900,738
《写  了  一  个》,digital,572.59600,738
可是我是看小说啊，小手机没关系,digital,90.34300,738
诶呀，鸽子回来了,digital,1.52500,738
这两位朋友怎么肥四,digital,241.79800,738
我也想要,digital,116.47900,738
思 想 钢 印,digital,293.92400,738
好家伙,digital,583.66000,738
三木直呼内行！,digital,540.76500,738
能玩手机，还是太闲了，我考试周，使用时间断崖式下降，所以给自己找点事做,digital,260.98000,738
没看过,digital,396.85800,738
不喜欢苹果吧,digital,128.50100,738
贝叶斯直呼内行,digital,88.22000,738
b站不是吧我觉得 ,digital,399.55300,738
谢谢何同学！,digital,629.04800,738
看小说不影响哈哈哈哈哈哈,digital,329.54500,738
进来主要是好奇,digital,345.79600,738
确实,digital,328.55800,738
这个视频其实也是想占有我的时间，并没有什么作用,digital,528.55300,738
nb,digital,590.67300,738
要用2077戒手机,digital,315.67100,738
只能说职位低了,digital,89.84000,738
确实，电脑,digital,718.73700,738
哈哈哈哈,digital,429.92800,738
2077,digital,296.19100,738
思想钢印笑死我了,digital,283.86100,738
希恩斯直呼内行,digital,293.44000,738
思想钢印那个老三体了,digital,283.86100,738
又可以捞一波,digital,522.56300,738
整的太复杂了，不能从根本上解决问题,digital,255.49900,738
四中方法全上？？,digital,261.59500,738
下了下了,digital,620.10000,738
xswl,digital,232.11300,738
哈哈哈哈哈哈哈哈哈哈哈哈哈哈,digital,428.76400,738
监视器给我拆了,digital,302.79300,738
！！！！！！,digital,626.75400,738
比伯！！,digital,412.73800,738
梦幻联动,digital,240.66000,738
时间黑洞,digital,400.51000,738
卧槽我明天考试,digital,301.62400,738
感谢！,digital,629.47900,738
6666666,digital,593.08600,738
别说了呜呜呜,digital,329.70500,738
666666,digital,443.58500,738
是的是的,digital,547.56200,738
投了,digital,722.04500,738
B站卸载,digital,484.73000,738
是的是的,digital,535.69300,738
赶紧取关，卸载B站,digital,361.50200,738
哈哈哈哈哈哈,digital,219.40000,738
想不短都不行,digital,177.42300,738
白给？,digital,106.06100,738
泻药，明天考法史，还在看视频,digital,344.19600,738
已经考完了,digital,298.61400,738
加油,digital,28.46900,738
好赞呀,digital,729.25900,738
真实,digital,357.68000,738
好像写论文啊……,digital,198.37700,738
可以忽略此限额,digital,136.85200,738
666,digital,572.44200,738
目的是 玩一会手机吧,digital,535.00600,738
和我通原PPT一样,digital,284.61700,738
牛壁,digital,630.62000,738
咋改修心理学了！,digital,348.87800,738
好酷炫！,digital,726.43000,738
ohhhhhhhh,digital,567.46200,738
打工人哪有这么多,digital,18.28800,738
冰冰关注的男人,digital,18.92300,738
巨巨巨佬啊啊啊啊啊啊老子爱你（圣光圣光圣光）,digital,627.45200,738
太真实了天啊,digital,329.36000,738
iPhone12mini成最大玩家,digital,45.58700,738
厉害厉害真厉害,digital,215.11500,738
哈哈哈哈哈哈,digital,128.57400,738
哈哈哈哈哈哈哈哈哈哈哈,digital,422.97400,738
使用小手机调成黑白再设置限额,digital,249.98000,738
哈哈哈哈哈,digital,537.62300,738
卧槽，被看穿,digital,331.77800,738
侧边指纹解锁不亮屏就能解锁怎么办,digital,519.63400,738
握草,digital,587.75600,738
百万投币预警,digital,1.74000,738
666,digital,245.25100,738
何同学nb！,digital,713.67200,738
前面说格兰杰的，不知道就闭麦，别丢人,digital,106.60000,738
可是我有ipad,digital,59.36900,738
可是无聊的时候我能玩好久诺基亚,digital,130.73100,738
更可能会让你有买充电宝的冲动,digital,66.74000,738
老思想钢印学者了,digital,292.71000,738
悟了 悟了 我去玩手机了,digital,383.50200,738
厉害了,digital,711.69600,738
哈哈哈哈,digital,124.33300,738
牛批,digital,582.18600,738
我就玩一把！就一把,digital,595.20000,738
实验具有偶然性,digital,35.47100,738
卧槽,digital,572.70300,738
up好帅好帅,digital,692.90400,738
对，认为做某件事是快乐的，愉悦的，在怎么抵制都是痛苦的,digital,278.60000,738
　哈哈哈哈哈哈哈哈哈哈哈哈哈,digital,422.86500,738
是我没错了,digital,147.44000,738
何同学牛逼！,digital,719.34400,738
这一波我笑了,digital,174.01900,738
没有用的,digital,138.19800,738
欲扬先抑？,digital,250.28700,738
没想到吧，我玩电脑的！！,digital,29.91200,738
学习软件也有才是最糟的,digital,433.48500,738
使用电脑是最有效的方法,digital,23.61400,738
在？摄像头拆了？,digital,345.84200,738
来了,digital,13.55400,738
熊猫：？？,digital,228.28000,738
66666,digital,135.74800,738
@自来卷三木,digital,541.02800,738
好家伙,digital,94.55900,738
卸载这办法很好用！！别问我为啥知道！,digital,512.66400,738
卸载b站！！,digital,361.02800,738
啊这,digital,240.39100,738
哈哈哈哈哈哈哈,digital,229.39200,738
明天考试，我不慌,digital,307.34000,738
内生性,digital,92.56000,738
b站进来挨打！,digital,394.53400,738
哈哈哈哈哈哈哈哈哈哈哈哈,digital,437.19900,738
用来像派大星一样发呆了,digital,671.42400,738
笑容逐渐在脸上消失,digital,349.58400,738
哈哈哈哈哈哈哈,digital,423.45700,738
逻辑判断削弱里的因果倒置吗Q-Q,digital,56.45600,738
？？？,digital,232.16000,738
哈哈哈哈哈，抱歉大家，我从不刷这些,digital,400.39100,738
会,digital,308.85200,738
对对对！,digital,355.40400,738
哈哈哈哈哈哈哈哈哈,digital,422.77300,738
哈哈哈哈哈哈哈哈哈,digital,422.77300,738
懂了现在就卸载b站,digital,463.67300,738
害 这功能 完全克制不了自己啊,digital,135.82800,738
非常赞同！,digital,295.86100,738
太真实了,digital,342.12600,738
《戒烟》,digital,295.40600,738
告诉你个秘密，记录月经日期的app里也有,digital,417.02300,738
安卓狂喜哈哈哈哈,digital,615.86700,738
不是苹果,digital,509.65500,738
悟了,digital,705.51200,738
不会快乐 但是贼刺鸡 根本停不下来,digital,305.70000,738
毕导行为,digital,237.02500,738
哈哈哈啊哈哈哈哈,digital,128.07600,738
niu！！！！,digital,586.60800,738
你太酷了！,digital,716.86000,738
？？？？？？？？？？？？？？？、,digital,107.37200,738
大佬大佬，正道的光,digital,673.87400,738
是我了，昨天准备考试全天手机只用了4小时,digital,306.52700,738
哇,digital,89.04400,738
和烟瘾一样！！！！,digital,328.04200,738
水平一般何同学？？？？！！！！！！！！！！！,digital,692.70800,738
哈哈哈哈哈哈哈哈哈哈哈,digital,421.92300,738
懂了,digital,672.57500,738
你发的视频也是啊,digital,456.68100,738
？,digital,49.23100,738
这弹幕数量，可怕,digital,129.06700,738
不，是真的好玩,digital,647.30000,738
中,digital,91.73200,738
真的 害,digital,537.53400,738
看到问题我已经开始焦虑了,digital,499.84000,738
吾日三省吾身,digital,491.17600,738
何老板,digital,94.84500,738
真大佬！,digital,582.14300,738
哈哈哈啊,digital,126.46100,738
哈哈哈哈哈哈哈哈哈确实,digital,328.47300,738
哈哈哈哈哈哈哈哈哈哈笑死我了,digital,238.06800,738
哈哈哈哈哈哈哈,digital,127.22000,738
大佬牛逼,digital,593.26600,738
？,digital,95.55100,738
哇，大佬,digital,639.16100,738
怎么不找我呢,digital,97.86300,738
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死我看,digital,238.06800,738
完美命中我現在的生活TT,digital,535.58300,738
？？？！我也想要啊,digital,91.51100,738
？,digital,581.21300,738
呜呜呜我想要以前的音乐…qwq,digital,707.86100,738
哈哈哈哈哈哈哈哈哈,digital,424.68100,738
哈哈哈哈哈哈哈哈,digital,543.52400,738
哈哈哈哈嗝,digital,127.70600,738
学小易哈哈哈哈哈哈哈哈哈,digital,478.43300,738
时间直接减半了现在,digital,302.52400,738
考研复习的时候……,digital,364.94800,738
好家伙好家伙,digital,590.78100,738
杀人诛心啊,digital,279.42300,738
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,digital,123.79600,738
为什么弹幕啥都要说成情侣？？？？,digital,244.82000,738
大师，我悟了,digital,708.07500,738
哈哈哈哈哈哈哈哈哈,digital,429.56000,738
电脑更快乐,digital,303.87800,738
卸载b站,digital,468.11500,738
紧张地玩手机,digital,304.95800,738
我只是好奇何同学又发了啥,digital,360.42000,738
后面同学终于不玩炉石，开始刷B站了,digital,639.28300,738
哈哈哈哈哈哈哈哈哈哈哈哈哈,digital,229.42800,738
卸载B,digital,474.69800,738
