id,name,grade,category,tag_name,book_num
104661,与熊同在,9.6,解谜,"['解谜', '休闲', '益智', '解谜', '黑白']",24354
104524,方舟之旅,9.4,模拟经营,"['模拟经营', '养成', '少女', '模拟', '经营', '探险']",52419
104658,点点富翁,9.8,模拟经营,"['模拟经营', '策略', '模拟经营', '大富翁']",37243
104641,镇魂街：武神躯,7.8,卡牌,"['卡牌', '卡牌', '国漫', '二次元', '镇魂街']",340704
104623,绝地莽荒,0.0,角色扮演,"['角色扮演', '仙侠', 'MMOARPG', '绝恋']",36445
104613,废柴物语,9.7,休闲,"['休闲', '模拟', '益智', '喵星人', '可爱', '合成']",62145
104604,风凌天下,4.3,角色扮演,"['角色扮演', '仙侠', '武侠', '3DMMO', '仙侠手游', '太古']",36383
104617,弓箭手大冒险,10.0,休闲,"['休闲', '冒险', '探险', 'roguelike', '敏捷']",23680
104544,人皮鼓,9.0,文字,"['文字', '互动', '悬疑', 'AVG', '国产', '人皮鼓']",59392
104594,非常英雄救世奇缘,8.5,角色扮演,"['角色扮演', '跑酷', '解谜', 'steam移植', '冒险', '动作']",55273
